company,year,Negative,Neutral,Positive,Ratio
Aldi,2020,41.0,4.0,326.0,7.95
Aldi,2021,35.0,6.0,427.0,12.2
Allianz,2020,335.0,36.0,2194.0,6.55
Allianz,2021,368.0,43.0,1956.0,5.32
Asklepios,2020,210.0,18.0,509.0,2.42
Asklepios,2021,54.0,5.0,121.0,2.24
Axel Springer,2020,44.0,8.0,186.0,4.23
Axel Springer,2021,53.0,10.0,258.0,4.87
BMW,2020,1125.0,167.0,3297.0,2.93
BMW,2021,1065.0,156.0,3917.0,3.68
Bayer,2020,339.0,50.0,2523.0,7.44
Bayer,2021,24.0,5.0,141.0,5.88
Beiersdorf,2020,119.0,12.0,652.0,5.48
Beiersdorf,2021,42.0,4.0,277.0,6.6
Bertelsmann,2020,179.0,20.0,689.0,3.85
Bertelsmann,2021,199.0,24.0,735.0,3.69
DEERE,2020,130.0,33.0,908.0,6.98
DEERE,2021,103.0,41.0,723.0,7.02
DEKRA,2020,24.0,13.0,49.0,2.04
DEKRA,2021,120.0,4.0,342.0,2.85
DZ BANK,2020,284.0,63.0,1479.0,5.21
DZ BANK,2021,279.0,67.0,1496.0,5.36
Debeka,2020,165.0,11.0,480.0,2.91
Debeka,2021,207.0,10.0,185.0,0.89
Deutsche Bank,2020,353.0,86.0,1795.0,5.08
Deutsche Bank,2021,430.0,119.0,2049.0,4.77
Draeger,2020,341.0,28.0,769.0,2.26
Draeger,2021,213.0,55.0,1001.0,4.7
EON,2020,483.0,66.0,2336.0,4.84
EON,2021,415.0,62.0,2196.0,5.29
Ernst & Young,2020,327.0,20.0,741.0,2.27
Ernst & Young,2021,265.0,9.0,626.0,2.36
Generali,2020,33.0,6.0,221.0,6.7
Generali,2021,40.0,5.0,227.0,5.68
HUK COBURG,2020,149.0,6.0,328.0,2.2
HUK COBURG,2021,164.0,7.0,282.0,1.72
Infineon,2020,135.0,42.0,815.0,6.04
Infineon,2021,140.0,53.0,853.0,6.09
KfW,2020,343.0,52.0,1433.0,4.18
KfW,2021,335.0,58.0,1584.0,4.73
LANXESS,2020,128.0,16.0,712.0,5.56
LANXESS,2021,186.0,24.0,1175.0,6.32
Landesbank Baden Württemberg,2021,350.0,87.0,2367.0,6.76
Linde,2020,266.0,48.0,1380.0,5.19
Linde,2021,283.0,47.0,1563.0,5.52
Mercedes Benz,2020,552.0,95.0,3692.0,6.69
Mercedes Benz,2021,933.0,131.0,4714.0,5.05
Munich Re,2021,317.0,35.0,1614.0,5.09
MunichRe,2020,274.0,34.0,1363.0,4.97
Philip Morris,2020,85.0,14.0,266.0,3.13
Philip Morris,2021,51.0,10.0,256.0,5.02
Procter Gamble,2020,63.0,7.0,542.0,8.6
Procter Gamble,2021,7.0,2.0,70.0,10.0
REWE,2020,404.0,16.0,1346.0,3.33
REWE,2021,674.0,90.0,3346.0,4.96
SAP,2020,935.0,188.0,3427.0,3.67
SAP,2021,878.0,190.0,2927.0,3.33
Salzgitter,2020,91.0,12.0,562.0,6.18
Salzgitter,2021,102.0,17.0,658.0,6.45
Sanofi,2020,63.0,6.0,445.0,7.06
Sanofi,2021,326.0,13.0,753.0,2.31
Siemens,2020,52.0,11.0,231.0,4.44
Siemens,2021,62.0,12.0,340.0,5.48
Talanx,2020,669.0,28.0,1546.0,2.31
Talanx,2021,511.0,15.0,1159.0,2.27
Telefonica,2020,386.0,76.0,2474.0,6.41
Telefonica,2021,405.0,65.0,2545.0,6.28
United Internet,2020,271.0,57.0,1647.0,6.08
United Internet,2021,256.0,60.0,1656.0,6.47
VINCI,2020,19.0,,181.0,9.53
VINCI,2021,24.0,,203.0,8.46
VONOVIA,2021,289.0,74.0,2076.0,7.18
Würth,2020,209.0,20.0,334.0,1.6
Würth,2021,287.0,16.0,890.0,3.1
ZFfriedrichshafen,2020,214.0,31.0,1216.0,5.68
ZFfriedrichshafen,2021,991.0,38.0,2394.0,2.42
Zalando,2020,160.0,12.0,651.0,4.07
Zalando,2021,165.0,24.0,870.0,5.27
amazon,2020,136.0,24.0,1339.0,9.85
amazon,2021,156.0,22.0,1540.0,9.87
bayerische landesbank,2020,297.0,77.0,1549.0,5.22
bayerische landesbank,2021,354.0,76.0,1901.0,5.37
bosch,2020,32.0,1.0,159.0,4.97
bosch,2021,32.0,4.0,203.0,6.34
carl zeiss,2020,155.0,19.0,937.0,6.05
carl zeiss,2021,169.0,27.0,1124.0,6.65
commerzbank,2020,206.0,31.0,1075.0,5.22
commerzbank,2021,226.0,32.0,1149.0,5.08
dm,2020,45.0,7.0,155.0,3.44
dm,2021,46.0,4.0,96.0,2.09
evonik,2020,414.0,64.0,2215.0,5.35
evonik,2021,381.0,81.0,2247.0,5.9
henkel,2020,168.0,31.0,1100.0,6.55
henkel,2021,148.0,43.0,952.0,6.43
ibm,2020,114.0,22.0,534.0,4.68
ibm,2021,77.0,11.0,669.0,8.69
ing,2020,119.0,9.0,261.0,2.19
ing,2021,275.0,34.0,1404.0,5.11
kpmg,2020,114.0,70.0,398.0,3.49
kpmg,2021,181.0,4.0,658.0,3.64
landesbank baden württemberg,2020,365.0,77.0,2153.0,5.9
mahle,2020,40.0,22.0,191.0,4.78
mahle,2021,68.0,19.0,178.0,2.62
merck,2020,436.0,92.0,2677.0,6.14
merck,2021,251.0,61.0,1938.0,7.72
pwc,2020,204.0,10.0,542.0,2.66
pwc,2021,286.0,15.0,874.0,3.06
rwe,2020,73.0,19.0,148.0,2.03
rwe,2021,193.0,23.0,434.0,2.25
schaeffler,2020,141.0,32.0,804.0,5.7
schaeffler,2021,132.0,37.0,855.0,6.48
shell,2020,315.0,45.0,1531.0,4.86
shell,2021,206.0,45.0,827.0,4.01
strabag,2020,144.0,17.0,666.0,4.62
strabag,2021,203.0,29.0,870.0,4.29
telekom,2020,446.0,72.0,2556.0,5.73
telekom,2021,526.0,71.0,3212.0,6.11
volkswagen,2020,143.0,11.0,445.0,3.11
volkswagen,2021,122.0,10.0,400.0,3.28
vonovia,2020,270.0,73.0,1944.0,7.2
